# coeff (real)    coeff (imag)    expon (real)    expon (imag)
6.773316495217e-04  -6.378541705234e-06  6.088590326759e-02  5.753229989927e-02
6.240385387927e-04  8.192111685200e-05  3.960757395845e-03  2.220498680630e-01
4.520408427020e-04  1.358226677491e-04  7.399058859782e-03  2.574164804503e-01
4.389978961247e-04  -1.698922262038e-04  6.641882132441e-03  1.404371134851e-01
1.929746072678e-04  3.619578430098e-05  4.827256756719e-03  2.885644755640e-01
3.038982506716e-05  -1.657124927488e-04  9.200816327524e-03  1.020830649847e-01
-1.585336864255e-05  7.089655632209e-05  8.801619869919e-03  1.920411728385e-01
-1.151645229625e-06  -5.537694177305e-06  -1.381365515435e-03  2.930370024483e-02
-4.882086381991e-06  2.527029964538e-06  -1.431845874103e-03  -8.299851354575e-04
-1.370333123006e-06  2.229961287184e-06  -3.915092188307e-03  5.850530364031e-02
-7.585355444238e-07  1.515247090169e-06  -9.354315545884e-03  2.465477492088e-01
5.701311438354e-07  2.566667794058e-07  -1.080005044702e-02  1.690003566505e-01
8.608409288953e-08  5.064079353639e-07  -1.188262650392e-02  1.499412828128e-01
