# coeff (real)    coeff (imag)    expon (real)    expon (imag)
9.769769173248e-05  1.020171168876e-04  9.051178326273e-03  -2.629814778984e-03
2.617823501129e-06  -3.843731760928e-06  3.165543674170e-03  -1.429865706958e-01
8.091524761621e-03  -8.962910025959e-02  1.006008351409e-03  2.262252257003e-01
-2.031517686711e-02  1.292372328146e-02  1.001709631396e-03  2.298037217947e-01
2.539889385351e-01  2.177847165378e-01  1.005709729919e-03  2.224509549645e-01
-2.885706823435e-01  -1.304750515762e-01  9.860728849794e-04  2.213364628054e-01
4.412482944920e-05  -1.017415066870e-05  1.831437422772e-03  3.548520186329e-02
3.909588511478e-04  -4.939849468710e-04  1.003715994527e-03  1.450356799537e-01
-7.325613593268e-06  6.101935249201e-04  1.005414788788e-03  1.433612455397e-01
4.942414292777e-02  -1.097870155589e-02  9.970947971206e-04  2.188795826332e-01
-6.541937158135e-04  5.013813322698e-04  9.916672200801e-04  2.416766179040e-01
-3.093391851540e-05  -1.352949157710e-04  7.794763614812e-03  2.268453509102e-03
-5.993004780376e-05  -9.940861787446e-05  9.933276316515e-04  1.992917408331e-01
1.294119136415e-05  2.317912628751e-06  9.683233630090e-04  5.351963825628e-02
4.911310672314e-06  -2.936365175666e-06  1.954048410949e-04  -3.571644058384e-02
6.430069490091e-06  -3.274364757225e-05  9.916668585680e-04  1.019002574979e-01
6.335003765758e-05  2.060229450200e-05  9.989274113288e-04  1.612450828066e-01
5.760786127858e-05  4.488436819211e-05  1.002297260678e-03  2.910246871873e-01
-4.986782832686e-05  3.016775233806e-05  1.003484002141e-03  2.695511670882e-01
-1.920414085812e-05  -6.487726176137e-06  7.820262751484e-04  3.786877302683e-02
4.320604481115e-05  -9.929831269241e-06  1.037272241998e-03  1.695648095957e-01
7.092620118252e-06  -4.531221273119e-06  1.426354904750e-03  -5.412545473450e-02
1.742704293636e-06  -5.051606947881e-06  9.503436444970e-04  -4.552434793278e-02
1.722447326126e-06  -3.752104650707e-06  1.298589371903e-03  2.174042592093e-02
