# coeff (real)    coeff (imag)    expon (real)    expon (imag)
7.072793795448e-04  -9.843405093896e-06  4.825581786460e-03  2.214551710253e-01
4.785598138174e-04  8.295799744117e-06  6.169908658422e-03  1.429620290010e-01
4.166965458957e-04  -8.133209646874e-05  5.322346644921e-02  3.297208599028e-02
3.682285233938e-04  8.922642938276e-05  5.920269786606e-03  2.577119967615e-01
1.764009812457e-04  4.883684084275e-05  4.399586017513e-03  2.891340275747e-01
1.609219946751e-04  -4.025659714159e-05  1.000232022153e-02  1.785696228574e-01
3.750351742189e-05  -7.929370536884e-05  5.607927798778e-03  1.036804422997e-01
5.342223196096e-05  5.645377469969e-05  3.825588333457e-03  1.683697602821e-01
-1.185115140707e-05  -1.148028380265e-05  -3.540865795987e-03  2.349723602874e-01
8.692810383780e-06  4.394899766572e-06  6.046295658688e-03  -1.354457098971e-01
1.538198081874e-06  -6.508030643099e-06  -1.431580557931e-03  3.083681305742e-02
-5.590553243497e-06  5.615460773461e-07  -1.472752069702e-03  3.589664932053e-04
3.913491866102e-06  2.391726412996e-06  1.112677973153e-04  -3.267313927051e-02
-1.592284640304e-06  3.576577525070e-06  -2.942415109183e-03  5.902394078590e-02
1.460866449290e-07  -1.412488372730e-07  -1.187700379742e-02  1.179823060486e-01
-1.717373504477e-10  -2.197263524751e-10  -2.655833716310e-02  2.785892581572e-01
